nom;time;x;y;z;omega;phi;kappa;M11;M12;M13;M21;M22;M23;M31;M32;M33
Job_20240422_0938_Track11_Sphere_00001.jpg;116746.2058700000;253484.1516765703;42046.9819034571;384.4426826080;-116.6140415136;-63.2659454469;187.9680706732;-0.5358123748;-0.1024902166;-0.8380935834;-0.8437721178;0.1013015491;0.5270546551;0.0308822326;0.9895624041;-0.1407570107
Job_20240422_0938_Track11_Sphere_00002.jpg;116746.7356010000;253486.5735395828;42045.3087195372;384.6764768381;-116.6397754844;-63.0749572954;187.5397434701;-0.5375745754;-0.1065813944;-0.8364532158;-0.8428703291;0.0963305317;0.5294242505;0.0241492082;0.9896266139;-0.1416191396
Job_20240422_0938_Track11_Sphere_00003.jpg;116747.2405660000;253488.9973819139;42043.6441605808;384.9130104091;-116.6217522135;-63.2016365230;187.4338553467;-0.5357633781;-0.1071487634;-0.8375420856;-0.8440672644;0.0944419769;0.5278552511;0.0225400929;0.9897473695;-0.1410393162
Job_20240422_0938_Track11_Sphere_00004.jpg;116747.7269100000;253491.4294671114;42041.9878387265;385.1452375660;-116.9653989106;-63.2229980291;187.2359679071;-0.5351522941;-0.1087576389;-0.8377253715;-0.8444126600;0.0971242397;0.5268150926;0.0240682742;0.9893122146;-0.1438125868
Job_20240422_0938_Track11_Sphere_00005.jpg;116748.1986360000;253493.8735915041;42040.3187712142;385.3862032555;-117.5408526450;-63.2570834451;186.4030969001;-0.5332452796;-0.1156542862;-0.8380176358;-0.8457507650;0.0949504680;0.5250619507;0.0188445016;0.9887408633;-0.1484465899
Job_20240422_0938_Track11_Sphere_00006.jpg;116748.6545700000;253496.3231388566;42038.6490454851;385.6375923716;-116.8305095947;-63.2745777491;186.8429259097;-0.5338061746;-0.1119202010;-0.8381675468;-0.8454500845;0.0897248581;0.5264632984;0.0162825860;0.9896581826;-0.1425186266
Job_20240422_0938_Track11_Sphere_00007.jpg;116749.0983850000;253498.7832506075;42036.9815796409;385.8835453922;-116.4594876028;-63.0959940606;187.5708039921;-0.5373553324;-0.1062654728;-0.8366342666;-0.8430613142;0.0939048693;0.5295559423;0.0222905189;0.9898936937;-0.1400485915
Job_20240422_0938_Track11_Sphere_00008.jpg;116749.5285540000;253501.2174633612;42035.3210005807;386.1176815433;-116.9771317292;-62.9273966705;187.4561251381;-0.5393339555;-0.1076666544;-0.8351806847;-0.8416594137;0.1007066848;0.5305351968;0.0269873283;0.9890733315;-0.1449331879
Job_20240422_0938_Track11_Sphere_00009.jpg;116749.9543920000;253503.6780857312;42033.6305432674;386.3681587512;-116.7773123950;-62.9138390325;187.6103917873;-0.5397677637;-0.1063938118;-0.8350635413;-0.8413900293;0.0996630356;0.5311592021;0.0267129153;0.9893167522;-0.1433135863
Job_20240422_0938_Track11_Sphere_00010.jpg;116750.3733360000;253506.1311935689;42031.9307643510;386.6116784606;-116.6910625387;-63.1173562006;187.3605264383;-0.5367261508;-0.1079844135;-0.8368180241;-0.8434661081;0.0946851436;0.5287718299;0.0221351189;0.9896333109;-0.1419011857
Job_20240422_0938_Track11_Sphere_00011.jpg;116750.7899210000;253508.6075158874;42030.2435627300;386.8546170266;-116.5330139472;-63.2209131775;187.6780134262;-0.5359214824;-0.1050444217;-0.8377074873;-0.8438916114;0.0962681455;0.5278062073;0.0252014484;0.9897970063;-0.1402382735
Job_20240422_0938_Track11_Sphere_00012.jpg;116751.2039140000;253511.0793493547;42028.5676439619;387.0913590742;-116.7873189267;-63.4030414752;187.5749417612;-0.5333974520;-0.1054467525;-0.8392664301;-0.8454218466;0.0985630831;0.5249259186;0.0273689534;0.9895283225;-0.1417202856
Job_20240422_0938_Track11_Sphere_00013.jpg;116751.6163380000;253513.5570399431;42026.8985220259;387.3338435246;-116.8849279887;-63.6128906952;187.5569684930;-0.5306509659;-0.1050594815;-0.8410541348;-0.8470994561;0.0995064220;0.5220354235;0.0288455167;0.9894751019;-0.1417990086
Job_20240422_0938_Track11_Sphere_00014.jpg;116752.0311970000;253516.0588754494;42025.2180387294;387.5757248811;-116.9798551740;-63.7082437499;187.4687408374;-0.5292688557;-0.1055483104;-0.8418634287;-0.8479602398;0.0996550400;0.5206076303;0.0289466779;0.9894081196;-0.1422450795
Job_20240422_0938_Track11_Sphere_00015.jpg;116752.4395400000;253518.5232179239;42023.5640528863;387.8179701827;-117.1829016667;-63.8171772822;187.1204422056;-0.5272715502;-0.1081527679;-0.8427856733;-0.8492841185;0.0979913609;0.5187621606;0.0264801515;0.9892930162;-0.1435204849
Job_20240422_0938_Track11_Sphere_00016.jpg;116752.8477830000;253520.9965665210;42021.9118742533;388.0671670008;-117.2175118927;-63.8364113696;187.0548208720;-0.5269103813;-0.1086447842;-0.8429482552;-0.8495241516;0.0976220824;0.5184386607;0.0259647077;0.9892756137;-0.1437344568
Job_20240422_0938_Track11_Sphere_00017.jpg;116753.2550610000;253523.4794382051;42020.2558255140;388.3139086058;-117.4563256385;-63.8581693180;186.7025971695;-0.5260193530;-0.1114986063;-0.8431320781;-0.8501415230;0.0965946092;0.5176184621;0.0237282764;0.9890589175;-0.1456002288
Job_20240422_0938_Track11_Sphere_00018.jpg;116753.6596790000;253525.9704564566;42018.6047787089;388.5663456367;-117.3132164133;-63.7707420038;186.9595045417;-0.5275981940;-0.1096103783;-0.8423928482;-0.8491077852;0.0979460159;0.5190592906;0.0256147381;0.9891370698;-0.1447471666
Job_20240422_0938_Track11_Sphere_00019.jpg;116754.0639050000;253528.4753816235;42016.9254052192;388.8172898088;-117.0169414226;-63.2931059019;187.3617448056;-0.5344613702;-0.1075181177;-0.8383262480;-0.8447659334;0.0994789602;0.5258083816;0.0268618959;0.9892137235;-0.1439953044
Job_20240422_0938_Track11_Sphere_00020.jpg;116754.4495710000;253530.8941434869;42015.2736078268;389.0530790975;-116.6769826758;-62.7144791610;187.8828862104;-0.5427833732;-0.1045766806;-0.8333366232;-0.8393655801;0.1020200346;0.5339076095;0.0291827456;0.9892702515;-0.1431528447
Job_20240422_0938_Track11_Sphere_00021.jpg;116754.8331110000;253533.3349875713;42013.5716134654;389.2974766549;-116.2492091157;-62.1854899799;188.4874101770;-0.5505446429;-0.1006598167;-0.8287147866;-0.8342000887;0.1041425028;0.5415390578;0.0317932097;0.9894553756;-0.1413055251
Job_20240422_0938_Track11_Sphere_00022.jpg;116755.2104120000;253535.7552591752;42011.8482027035;389.5305977091;-116.3527707156;-61.5930308325;188.4700594488;-0.5580793877;-0.1021946393;-0.8234704930;-0.8291867885;0.1064382336;0.5487441774;0.0315700314;0.9890536680;-0.1441394290
Job_20240422_0938_Track11_Sphere_00023.jpg;116755.5901140000;253538.2110758041;42010.0500955628;389.7777450476;-116.2576966386;-61.4413446301;187.8131961704;-0.5589199013;-0.1083203535;-0.8221163208;-0.8289855181;0.0966488872;0.5508557011;0.0197877433;0.9894067382;-0.1438149908
Job_20240422_0938_Track11_Sphere_00024.jpg;116755.9610960000;253540.6384029629;42008.2800577767;390.0236000884;-115.4256571113;-61.7559055829;188.0646339468;-0.5553455611;-0.1053536028;-0.8249193452;-0.8315097021;0.0864768489;0.5487379792;0.0135249025;0.9906676400;-0.1356270771
Job_20240422_0938_Track11_Sphere_00025.jpg;116756.3471610000;253543.1122486911;42006.5051899813;390.2643905515;-114.9903949194;-62.0641754019;188.2596784826;-0.5517324660;-0.1029179741;-0.8276467704;-0.8339418398;0.0817626547;0.5457617393;0.0115019046;0.9913237407;-0.1309387158
Job_20240422_0938_Track11_Sphere_00026.jpg;116756.7486010000;253545.5643037580;42004.7709512319;390.4875538917;-114.8548620914;-62.5594546172;188.3798679363;-0.5455771613;-0.1007043097;-0.8319881027;-0.8379660893;0.0804596537;0.5397583509;0.0125854825;0.9916576456;-0.1282837461
Job_20240422_0938_Track11_Sphere_00027.jpg;116757.1942170000;253548.1467585093;42002.9693620671;390.7150212023;-113.9565841405;-63.6482363082;188.4273149624;-0.5315782905;-0.0977107298;-0.8413543453;-0.8470019142;0.0654315506;0.5275475993;0.0035040585;0.9930615920;-0.1175431670
Job_20240422_0938_Track11_Sphere_00028.jpg;116757.6453270000;253550.6323059922;42001.2995955069;390.9039342953;-113.9624306170;-64.6171462759;188.3603735313;-0.5188225391;-0.0959301540;-0.8494825357;-0.8548712674;0.0631896308;0.5149778508;0.0042765833;0.9933803280;-0.1147921371
Job_20240422_0938_Track11_Sphere_00029.jpg;116758.1236910000;253553.1877278285;41999.6161246076;391.0802502148;-113.9048923713;-65.5753007237;187.6503020167;-0.5051166857;-0.0992348014;-0.8573270018;-0.8630308342;0.0512767365;0.5025420137;-0.0059087261;0.9937419939;-0.1115434286
Job_20240422_0938_Track11_Sphere_00030.jpg;116758.6040380000;253555.7149957575;41998.0035365988;391.2358353278;-113.5963120467;-67.1372236062;187.1000496241;-0.4834865744;-0.0993330910;-0.8696974585;-0.8752034377;0.0365655681;0.4823711246;-0.0161144332;0.9943821681;-0.1046156240
Job_20240422_0938_Track11_Sphere_00031.jpg;116759.1075290000;253558.3565173685;41996.4241346819;391.3747073840;-113.6210352268;-69.9692351086;186.0037456478;-0.4434829308;-0.0991027834;-0.8907870275;-0.8958287892;0.0173808137;0.4440593292;-0.0285249122;0.9949253970;-0.0964872206
Job_20240422_0938_Track11_Sphere_00032.jpg;116759.6450700000;253561.1049084071;41994.9730739510;391.4949174542;-114.1698555303;-73.9161585974;184.5336422691;-0.3866579740;-0.0958294305;-0.9172307950;-0.9214359010;-0.0009440450;0.3885292643;-0.0380984453;0.9953973222;-0.0879356551
Job_20240422_0938_Track11_Sphere_00033.jpg;116760.3247600000;253564.2014268152;41993.6393151060;391.6024212083;-116.0932017256;-79.5786693094;182.1628451267;-0.3030089539;-0.0871923531;-0.9489905518;-0.9521624766;-0.0137330006;0.3052835122;-0.0396508756;0.9960968318;-0.0788600647
Job_20240422_0938_Track11_Sphere_00034.jpg;116761.4292610000;253567.7295179120;41992.5493043037;391.6892929459;-126.2115483973;-86.9450397825;172.1711774073;-0.1844847449;-0.0862068030;-0.9790473768;-0.9822812780;-0.0172724496;0.1866149871;-0.0329980279;0.9961275268;-0.0814928251
Job_20240422_0938_Track11_Sphere_00035.jpg;116762.6070490000;253570.7159896895;41992.0384145714;391.7597860480;-161.2955126356;-93.5544540297;137.2646287849;-0.0558423399;-0.0842465890;-0.9948789601;-0.9981281210;-0.0201771568;0.0577333211;-0.0249376642;0.9962406309;-0.0829621500
Job_20240422_0938_Track11_Sphere_00036.jpg;116763.5977420000;253573.4541864362;41991.8719117818;391.8238924546;198.1175419786;-95.0188392568;96.9173487834;0.0037833955;-0.0780724602;-0.9969405082;-0.9998179169;-0.0189418226;-0.0023109423;-0.0187034493;0.9967677254;-0.0781299089
Job_20240422_0938_Track11_Sphere_00037.jpg;116764.4678830000;253576.2635221488;41991.7434968697;391.8642569743;-161.5605849075;-93.5797184129;137.7395951125;-0.0562487345;-0.0835001629;-0.9949189930;-0.9983278064;-0.0085998778;0.0571632136;-0.0133293194;0.9964706543;-0.0828768023
Job_20240422_0938_Track11_Sphere_00038.jpg;116765.1971130000;253578.9962496422;41991.3558441764;391.9121277463;-125.5932693747;-86.3403871541;174.2392294467;-0.1957266528;-0.0838266642;-0.9770691725;-0.9805981487;0.0056769277;0.1959465316;-0.0108787931;0.9964641804;-0.0833113978
Job_20240422_0938_Track11_Sphere_00039.jpg;116765.8208410000;253581.6929765774;41990.5596762523;391.9636195013;-113.9991527048;-77.4829253393;185.7228944294;-0.3376949087;-0.0770286169;-0.9380984708;-0.9410923597;0.0090686703;0.3380280015;-0.0175305236;0.9969876385;-0.0755534866
Job_20240422_0938_Track11_Sphere_00040.jpg;116766.3665440000;253584.2464782224;41989.3790443493;391.9845232544;-110.8322044808;-69.3656705188;189.1255551352;-0.4561097963;-0.0786772734;-0.8864387967;-0.8897073541;0.0183615301;0.4561618991;-0.0196132018;0.9967310273;-0.0783746225
Job_20240422_0938_Track11_Sphere_00041.jpg;116766.8664080000;253586.7222854366;41987.8842814062;392.0234521972;-108.3880249623;-63.1309901929;192.0363525824;-0.5430253509;-0.0682850481;-0.8369352547;-0.8395895489;0.0268347626;0.5425580936;-0.0145896466;0.9973048921;-0.0719033691
Job_20240422_0938_Track11_Sphere_00042.jpg;116767.3357550000;253589.0726409870;41986.1531294314;392.0433586873;-106.8731594450;-59.7523484111;192.7462157952;-0.5870961484;-0.0671860192;-0.8067243341;-0.8090777634;0.0158678802;0.5874873472;-0.0266699311;0.9976142788;-0.0636746855
Job_20240422_0938_Track11_Sphere_00043.jpg;116767.7776190000;253591.3434657510;41984.3167171925;392.0451214910;-107.7807919141;-58.7010249686;191.4616005858;-0.5987432614;-0.0807889673;-0.7968561035;-0.8001114409;0.0150613989;0.5996622686;-0.0364443277;0.9966174276;-0.0736580881
Job_20240422_0938_Track11_Sphere_00044.jpg;116768.1929100000;253593.6369888376;41982.4808806870;392.0591550292;-108.0869767369;-59.2548920896;191.5114917480;-0.5919126048;-0.0793950299;-0.8020822262;-0.8053996602;0.0197924643;0.5924015916;-0.0311585582;0.9966467216;-0.0756601392
Job_20240422_0938_Track11_Sphere_00045.jpg;116768.5877570000;253595.9502432127;41980.6425264543;392.0877344208;-107.8320511728;-59.8702636947;191.3544190897;-0.5840056587;-0.0798017725;-0.8078174718;-0.8109444598;0.0130438932;0.5849777260;-0.0361451745;0.9967254055;-0.0723325127
Job_20240422_0938_Track11_Sphere_00046.jpg;116768.9649620000;253598.2759470780;41978.8433368690;392.1117258351;-107.8811071805;-60.3369468288;191.5083230033;-0.5783120123;-0.0776000445;-0.8121166478;-0.8151646889;0.0152050531;0.5790296506;-0.0325844499;0.9968686169;-0.0720500810
Job_20240422_0938_Track11_Sphere_00047.jpg;116769.3359320000;253600.6536430957;41977.0283034425;392.1412742240;-107.7573926604;-60.5109648893;191.5110561739;-0.5761129959;-0.0772797932;-0.8137085778;-0.8166653570;0.0130927255;0.5769629757;-0.0339339164;0.9969234745;-0.0706546192
Job_20240422_0938_Track11_Sphere_00048.jpg;116769.7016680000;253603.0170365268;41975.2224905137;392.1696173726;-106.8717862792;-60.5926314170;192.3696799311;-0.5760660332;-0.0693779625;-0.8144535737;-0.8167858870;0.0101419289;0.5768517626;-0.0317606697;0.9975388913;-0.0625093614
Job_20240422_0938_Track11_Sphere_00049.jpg;116770.0821540000;253605.4407997155;41973.3731506160;392.1829978889;-107.1889326166;-60.6423352731;192.0086338372;-0.5750322543;-0.0725642382;-0.8149063369;-0.8174528758;0.0104216258;0.5759011942;-0.0332971825;0.9973092906;-0.0653106162
Job_20240422_0938_Track11_Sphere_00050.jpg;116770.4663450000;253607.8459630010;41971.5483804168;392.2057935782;-106.2162678603;-60.8563689397;193.1677656025;-0.5735308570;-0.0617890154;-0.8168503373;-0.8187246575;0.0098491226;0.5741018464;-0.0274279287;0.9980406366;-0.0562369662
Job_20240422_0938_Track11_Sphere_00051.jpg;116770.8799720000;253610.2983133932;41969.6970323566;392.2112206137;-106.4088247374;-61.4188713596;192.9148869747;-0.5660857619;-0.0632626177;-0.8219152945;-0.8238566640;0.0090555887;0.5667258539;-0.0284096342;0.9979558294;-0.0572455690
Job_20240422_0938_Track11_Sphere_00052.jpg;116771.3392430000;253612.8170441805;41967.8369872412;392.2168810274;-106.3798939123;-62.3729412928;193.1201013064;-0.5539778432;-0.0601020990;-0.8303591313;-0.8321641182;0.0103515085;0.5544327973;-0.0247271052;0.9981385595;-0.0557493166
Job_20240422_0938_Track11_Sphere_00053.jpg;116771.8178030000;253615.3076203052;41966.0674326597;392.2173886560;-106.5391239913;-63.7410427576;193.0102388511;-0.5360097319;-0.0590887689;-0.8421413686;-0.8438938599;0.0101275714;0.5364145650;-0.0231672295;0.9982013573;-0.0552931261
Job_20240422_0938_Track11_Sphere_00054.jpg;116772.2963740000;253617.7566211451;41964.4085416226;392.2094420055;-107.4606795320;-65.3755614636;192.1415389858;-0.5135221164;-0.0637133247;-0.8557076886;-0.8577682920;0.0113961459;0.5139101917;-0.0229911573;0.9979031717;-0.0605034427
Job_20240422_0938_Track11_Sphere_00055.jpg;116772.7641140000;253620.2635869800;41962.8057673806;392.2066674922;-107.1201095462;-67.3112912121;192.1729186102;-0.4874974926;-0.0602404410;-0.8710437899;-0.8727551755;0.0046112621;0.4881363947;-0.0253889405;0.9981732442;-0.0548231353
Job_20240422_0938_Track11_Sphere_00056.jpg;116773.2206630000;253622.8293302688;41961.2835254166;392.1838178476;-107.7012617412;-70.0193584254;191.1688629066;-0.4493610713;-0.0627379375;-0.8911445331;-0.8928205993;-0.0028051518;0.4504037173;-0.0307571960;0.9980260930;-0.0547531969
Job_20240422_0938_Track11_Sphere_00057.jpg;116773.6560070000;253625.4289106031;41959.8918329710;392.1669935575;-107.8164545257;-72.9707974583;191.1586857313;-0.4079662184;-0.0570250504;-0.9112144140;-0.9126016312;-0.0038994322;0.4088313310;-0.0268668461;0.9983651326;-0.0504503174
Job_20240422_0938_Track11_Sphere_00058.jpg;116774.0879940000;253628.1355747154;41958.6082003554;392.1378295925;-110.3523667923;-76.4252486716;188.3135220262;-0.3558249888;-0.0660628049;-0.9322147194;-0.9340133068;-0.0087442496;0.3571311814;-0.0317446058;0.9977771514;-0.0585921164
Job_20240422_0938_Track11_Sphere_00059.jpg;116774.5026240000;253630.8781851688;41957.4936189055;392.1325061731;-111.1685249612;-79.5076792098;187.2729280880;-0.3100616068;-0.0628256064;-0.9486383627;-0.9501343245;-0.0144359390;0.3115066116;-0.0332650773;0.9979201105;-0.0552167347
Job_20240422_0938_Track11_Sphere_00060.jpg;116774.9105250000;253633.6706112154;41956.5037696017;392.1132604089;-110.1109667103;-81.2954053588;188.8533306706;-0.2851742494;-0.0504481661;-0.9571471308;-0.9582010844;-0.0088971198;0.2859572051;-0.0229418693;0.9986870500;-0.0458022581
Job_20240422_0938_Track11_Sphere_00061.jpg;116775.3071540000;253636.4071944703;41955.5752021298;392.0993416049;-112.3776907759;-81.3732488224;186.1002058056;-0.2815838329;-0.0624762408;-0.9575005297;-0.9590054552;-0.0148746411;0.2829969646;-0.0319230632;0.9979356013;-0.0557265973
Job_20240422_0938_Track11_Sphere_00062.jpg;116775.7178280000;253639.2937488526;41954.6234610658;392.1005275100;-112.1511311315;-82.3029068281;186.2116602341;-0.2680074940;-0.0589718847;-0.9616102641;-0.9628573909;-0.0176143457;0.2694352975;-0.0328272429;0.9981042288;-0.0520607384
Job_20240422_0938_Track11_Sphere_00063.jpg;116776.1332000000;253642.2058329791;41953.7046426404;392.0793069284;-111.6102713714;-84.5888408163;185.8629653990;-0.2338341262;-0.0527968598;-0.9708419506;-0.9712420561;-0.0333645158;0.2357449418;-0.0448382642;0.9980477447;-0.0434767682
Job_20240422_0938_Track11_Sphere_00064.jpg;116776.5449370000;253645.0479886024;41952.9312547296;392.0376893934;-118.8662271792;-86.9045439261;178.3136514213;-0.1925184638;-0.0682413542;-0.9789176465;-0.9800142615;-0.0375473370;0.1953515925;-0.0500868080;0.9969620429;-0.0596489447
Job_20240422_0938_Track11_Sphere_00065.jpg;116776.9811460000;253648.0458594412;41952.2678817855;392.0336826229;-124.0497371506;-90.0813418027;173.2386528520;-0.1416629769;-0.0633250390;-0.9878874128;-0.9888146779;-0.0379864515;0.1442309341;-0.0466597668;0.9972697574;-0.0572354542
Job_20240422_0938_Track11_Sphere_00066.jpg;116777.4261480000;253651.0513322494;41951.7816504017;392.0387491891;-137.1289467492;-93.7022941630;160.2207474323;-0.0801016488;-0.0577739521;-0.9951109970;-0.9958238092;-0.0392316988;0.0824367328;-0.0438025907;0.9975585418;-0.0543901532
Job_20240422_0938_Track11_Sphere_00067.jpg;116777.8693550000;253654.0210778231;41951.4813883491;392.0336969309;-162.5590435626;-96.2711373882;134.6617655561;-0.0303211099;-0.0500748031;-0.9982851018;-0.9985544527;-0.0428277116;0.0324775643;-0.0443805740;0.9978267892;-0.0487038338
Job_20240422_0938_Track11_Sphere_00068.jpg;116778.3261720000;253657.0766881916;41951.3154633762;391.9986243220;184.0664910085;-96.5039408047;81.3672400598;0.0158364962;-0.0525541501;-0.9984924971;-0.9989935389;-0.0427445290;-0.0135946490;-0.0419656363;0.9977028448;-0.0531781800
Job_20240422_0938_Track11_Sphere_00069.jpg;116778.7729260000;253660.0842460070;41951.2895122794;391.9853866836;150.8566491228;-95.1514240827;48.0032874837;0.0554628160;-0.0520884409;-0.9971011335;-0.9975217967;-0.0461897531;-0.0530732679;-0.0432913514;0.9975737071;-0.0545211690
Job_20240422_0938_Track11_Sphere_00070.jpg;116779.2274800000;253663.1074675359;41951.3662095703;391.9690250345;148.8391180103;-94.0226741558;46.3250831347;0.0700081914;-0.0623587504;-0.9955954195;-0.9968526572;-0.0415890972;-0.0674916800;-0.0371972178;0.9971869099;-0.0650740636
Job_20240422_0938_Track11_Sphere_00071.jpg;116779.6823030000;253666.1099178069;41951.4957343554;391.9897429207;152.4051050178;-93.7627647663;51.0457497947;0.0680220179;-0.0702942889;-0.9952043599;-0.9975046786;-0.0236941815;-0.0665056527;-0.0189055852;0.9972448539;-0.0717306081
Job_20240422_0938_Track11_Sphere_00072.jpg;116780.1420510000;253669.0932210202;41951.5572116878;392.0322830305;190.8712155400;-95.6512075743;90.2241345386;0.0104404132;-0.0674543689;-0.9976677332;-0.9998973650;-0.0104935173;-0.0097542576;-0.0098110763;0.9976671761;-0.0675570024
